putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C6:2;O	110.04	272.1489	0.00014697836368255117	37
CAR C6:2;O2	126.03	288.14456	0.00010411440701848105	2045
CAR C6:2;O3	142.03	304.14001	9.863878152697218e-05	19
CAR C6:2;O4	158.02	320.13	6.247461968578463e-05	3
CAR C7:0	112.09	274.20065	0.00032822679304371965	2315
CAR C7:0;O	128.085	290.19802500000003	0.0002929033228368829	1058
CAR C7:0;O2	144.08	306.19006	0.0002612756273015933	81
CAR C7:1	110.07499999999999	272.1875	0.00027554518147269	5019
CAR C7:1;O	126.07	288.18039	0.00024290341199133356	652
CAR C7:1;O2	142.065	304.177595	0.00021369082307189275	7174
CAR C7:1;O3	158.06	320.17038	0.00018740022109478793	38
CAR C7:2	108.06	270.1691	0.0002220831323789518	24
CAR C7:2;O	124.055	286.165005	0.0001921965006422683	160
CAR C7:2;O2	140.05	302.15997	0.00016547526133263573	3433
CAR C7:2;O3	156.04	318.15485	0.00012572494180111365	186
CAR C7:2;O4	172.04	334.14999	0.00011970672212197893	3
CAR C8:0	126.10499999999999	288.21785	0.0003643076329507837	13403
CAR C8:0;O	142.1	304.21191	0.0003287182280272798	7223
CAR C8:0;O2	158.09	320.20676	0.00028106839468349583	50
CAR C8:0;O4	190.08	352.19595	0.00022714628035902317	2
CAR C8:1	124.09	286.20126	0.0003144640243722317	22354
CAR C8:1;O	140.085	302.19851500000004	0.00028127198198406767	7657
CAR C8:1;O2	156.08	318.19211	0.00025142043905492347	6130
CAR C8:1;O3	172.075	334.18785	0.00022442457987497207	2690
CAR C8:1;O4	188.07	350.18054	0.00019989688747408174	58
CAR C8:2	122.07499999999999	284.18499499999996	0.0002639122870101651	2444
CAR C8:2;O	138.07	300.17999	0.00023319342505139396	3457
CAR C8:2;O2	154.065	316.17499999999995	0.0002055821020137368	5639
CAR C8:2;O3	170.06	332.17007	0.0001806303620311194	947
CAR C8:3	120.06	282.16959	0.00021263808052456067	14
CAR C8:3;O	136.055	298.165005	0.000184461339067832	326
CAR C8:3;O2	152.04500000000002	314.15780500000005	0.00014324000343561756	1770
CAR C8:3;O4	184.04	346.1496	0.00011555697305440203	24
CAR C9:0	140.12	302.23209	0.00039704585969016243	8428
CAR C9:0;O	156.115	318.2285	0.00036137547792704846	929
CAR C9:0;O2	172.11	334.22171	0.0003291228448325923	59
CAR C9:0;O4	204.1	366.21225	0.00027306568799922537	8
CAR C9:1	138.10500000000002	300.217345	0.00034974660248000887	9311
CAR C9:1;O	154.1	316.20999	0.000316245543032952	2378
CAR C9:1;O2	170.095	332.20759999999996	0.00028596575179749454	2391
CAR C9:1;O3	186.09	348.20096	0.00025847142983179426	24
CAR C9:1;O4	202.08	364.19659	0.0002196615844206902	4
CAR C9:2	136.09	298.20001	0.00030181085507006994	1434
CAR C9:2;O	152.085	314.19500500000004	0.00027053237327432636	305
CAR C9:2;O2	168.08	330.1904	0.00024228445163763847	2992
CAR C9:2;O3	184.07	346.18439	0.00020220438015704052	163
CAR C9:2;O4	200.07	362.18051	0.0001932737904642996	4
CAR C9:3	134.07	296.17999	0.0002363427725147576	4
CAR C9:3;O	150.07	312.18002	0.00022422959675636248	243
CAR C9:3;O2	166.065	328.17622500000004	0.00019806420485497935	124
CAR C9:3;O3	182.06	344.16946	0.0001743327255126073	55
CAR C9:3;O4	198.05	360.16504	0.00013882524522649775	15
